,1. LM 2006 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,06-003,06-015,06-030,06-041,06-049,06-079,06-090,06-005,06-027,06-098,06-131,06-159
B,06-009,06-016,06-034,06-042,06-051,06-082,06-091,06-008,06-031,06-109,06-135,06-167
C,06-001,06-018,06-036,06-044,06-072,06-083,06-093,06-190,06-033,06-110,06-136,06-180
D,06-002,06-029,06-040,06-046,06-077,06-085,06-095,06-233,06-055,06-111,06-158,06-182
E,06-006,06-187,06-021,06-039,06-071,06-081,06-088,06-184,06-213,06-038,06-089,06-163
F,06-007,06-012,06-022,06-047,06-073,06-084,06-094,06-195,06-214,06-067,06-097,06-166
G,06-010,06-014,06-035,06-048,06-075,06-086,06-100,06-199,06-019,06-070,06-101,06-168
H,06-011,06-017,06-037,06-059,06-076,06-087,06-178,06-210,06-032,06-080,06-142,06-169
,,,,,,,,,,,,
,2. LM 2008 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,08-005,08-017,08-033,08-048,08-053,08-079,08-120,08-009,08-025,08-036,08-058,08-102
B,08-007,08-018,08-043,08-050,08-059,08-082,08-123,08-019,08-027,08-038,08-071,08-103
C,08-008,08-024,08-045,08-051,08-075,08-095,08-125,08-020,08-028,08-041,08-074,08-113
D,08-015,08-031,08-046,08-052,08-077,08-118,08-132,08-023,08-030,08-055,08-085,08-138
E,08-002,08-011,08-042,08-057,08-073,08-087,08-114,08-014,08-037,08-062,08-078,08-100
F,08-004,08-012,08-044,08-063,08-081,08-098,08-117,08-026,08-039,08-064,08-080,08-101
G,08-006,08-022,08-047,08-066,08-083,08-099,08-124,08-029,08-040,08-065,08-086,08-111
H,08-010,08-034,08-054,08-068,08-084,08-112,08-136,08-035,08-049,08-072,08-096,08-115
,,,,,,,,,,,,
,,,,,,,,,,,,
,3. LM 2009 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,09-002,09-009,09-013,09-046,09-053,09-107,09-090,09-022,09-056,09-117,09-078,09-172
B,09-006,09-010,09-015,09-048,09-072,09-073,09-093,09-026,09-069,09-118,09-088,09-173
C,09-007,09-011,09-018,09-050,09-099,09-084,09-142,09-036,09-103,09-127,09-166,09-174
D,09-008,09-012,09-042,09-052,09-106,09-089,09-143,09-039,09-108,09-077,09-168,09-175
E,09-001,09-016,09-045,09-054,09-102,09-134,09-092,09-032,09-114,09-120,09-157,09-165
F,09-004,09-017,09-047,09-055,09-104,09-137,09-138,09-044,09-115,09-081,09-158,09-169
G,09-005,09-034,09-049,09-058,09-122,09-085,09-139,09-105,09-116,09-155,09-159,09-170
H,09-014,09-043,09-051,09-071,09-128,09-087,09-140,09-109,09-119,09-156,09-160,09-171
,,,,,,,,,,,,
,,,,,,,,,,,,
,4. LM 2010 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,10-011,10-048,10-068,10-079,10-100,10-204,10-326,10-045,10-119,10-139,10-200,10-225
B,10-023,10-049,10-001,10-091,10-122,10-223,10-327,10-051,10-124,10-140,10-207,10-284
C,10-024,10-055,10-005,10-093,10-134,10-287,10-241,10-066,10-131,10-141,10-218,10-285
D,10-038,10-058,10-075,10-097,10-202,10-310,10-259,10-069,10-136,10-142,10-222,10-291
E,10-012,10-034,10-065,10-094,10-191,10-220,10-289,10-013,10-078,10-198,10-292,10-272
F,10-018,10-053,10-067,10-102,10-199,10-226,10-304,10-032,10-085,10-208,10-293,10-271
G,10-027,10-054,10-071,10-107,10-211,10-229,10-306,10-040,10-099,10-274,10-307,10-265
H,10-031,10-059,10-074,10-137,10-215,10-288,10-324,10-061,10-143,10-295,10-258,10-243
,H1 not missing,,,,,,,,,,,
,,,,,,,,,,,,
,5. LM 2011 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,11-002,11-038,11-138,11-162,11-093,11-115,11-189,11-003,11-027,11-133,11-148,11-117
B,11-013,11-039,11-140,11-163,11-094,11-116,11-200,11-009,11-033,11-135,11-156,11-130
C,11-022,11-040,11-142,11-181,11-097,11-124,11-257,11-016,11-034,11-145,11-177,11-131
D,11-025,11-137,11-153,11-001,11-103,11-127,11-258,11-026,11-048,11-147,11-104,11-203
E,11-004,11-035,11-084,11-152,11-091,11-119,11-205,11-011,11-157,11-175,11-132,11-260
F,11-012,11-042,11-086,11-161,11-092,11-128,11-206,11-031,11-165,11-101,11-190,11-261
G,11-014,11-043,11-134,11-172,11-100,11-201,11-213,11-088,11-169,11-120,11-191,11-263
H,11-030,11-083,11-143,11-089,11-112,11-204,11-221,11-155,11-171,11-126,11-202,11-210
,"D1, E7, F5, H7 not missing",,,,,,,,,,,
,,,,,,,,,,,,
,6. LM 2012 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,12-005,12-023,12-042,12-054,12-061,12-086,12-134,12-016,12-040,12-068,12-089,12-144
B,12-009,12-025,12-045,12-056,12-062,12-106,12-163,12-028,12-058,12-071,12-090,12-146
C,12-011,12-029,12-048,12-057,12-064,12-131,12-195,12-035,12-060,12-072,12-141,12-162
D,12-020,12-030,12-051,12-059,12-082,12-132,12-198,12-036,12-067,12-075,12-142,12-167
E,12-001,12-008,12-022,12-050,12-070,12-088,12-199,12-014,12-109,12-172,12-192,12-375
F,12-002,12-010,12-031,12-053,12-079,12-091,12-200,12-019,12-196,12-173,12-213,12-383
G,12-003,12-018,12-032,12-055,12-083,12-105,12-221,12-069,12-197,12-176,12-217,12-394
H,12-004,12-021,12-043,12-066,12-087,12-193,12-222,12-092,12-397,12-403,12-374,12-398
,,,,,,,,,,,,
,,,,,,,,,,,,
,7. LM 2013 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,13-015,13-030,13-099,13-115,13-147,13-165,13-178,13-008,13-018,13-036,13-070,13-135
B,13-024,13-040,13-103,13-138,13-152,13-167,13-190,13-009,13-022,13-054,13-091,13-145
C,13-027,13-075,13-111,13-139,13-161,13-171,13-191,13-016,13-025,13-055,13-121,13-148
D,13-028,13-098,13-113,13-142,13-162,13-175,13-192,13-017,13-031,13-064,13-132,13-151
E,13-001,13-039,13-069,13-092,13-122,13-146,13-183,13-006,13-081,13-136,13-155,13-157
F,13-010,13-051,13-077,13-108,13-123,13-154,13-201,13-007,13-084,13-153,13-176,13-158
G,13-011,13-057,13-083,13-109,13-128,13-160,13-232,13-029,13-100,13-168,13-182,13-164
H,13-021,13-063,13-086,13-110,13-134,13-163,13-233,13-037,13-105,13-174,13-193,13-166
,A8 and B9 not missing,,,,,,,,,,,
,,,,,,,,,,,,
,8. LM 2014 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,14-022,14-074,14-082,14-109,14-127,14-180,14-188,14-011,14-040,14-079,14-105,14-142
B,14-024,14-077,14-091,14-118,14-148,14-181,14-202,14-015,14-045,14-081,14-110,14-149
C,14-033,14-078,14-092,14-124,14-162,14-182,14-217,14-034,14-073,14-083,14-114,14-151
D,14-046,14-080,14-101,14-125,14-164,14-183,14-240,14-036,14-075,14-100,14-140,14-163
E,14-016,14-042,14-051,14-076,14-122,14-150,14-165,14-013,14-113,14-152,14-223,14-196
F,14-030,14-043,14-056,14-102,14-131,14-154,14-184,14-035,14-120,14-186,14-208,14-203
G,14-032,14-048,14-058,14-104,14-138,14-160,14-185,14-068,14-130,14-197,14-220,14-204
H,14-037,14-049,14-065,14-116,14-143,14-161,14-211,14-112,14-139,14-207,14-226,14-209
,,,,,,,,,,,,
,,,,,,,,,,,,
,9. LM 2015 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,15-006,15-026,15-044,15-099,15-139,15-199,15-215,15-001,15-030,15-063,15-110,15-125
B,15-013,15-031,15-060,15-108,15-174,15-202,15-223,15-009,15-033,15-067,15-111,15-135
C,15-014,15-034,15-072,15-109,15-175,15-207,15-251,15-019,15-036,15-080,15-112,15-144
D,15-022,15-035,15-085,15-123,15-197,15-209,15-255,15-024,15-043,15-081,15-119,15-150
E,15-015,15-061,15-098,15-121,15-185,15-220,15-243,15-003,15-028,15-118,15-194,15-180
F,15-032,15-073,15-106,15-138,15-189,15-221,15-244,15-018,15-084,15-133,15-201,15-205
G,15-047,15-077,15-107,15-155,15-214,15-222,15-247,15-020,15-086,15-152,15-210,15-249
H,15-048,15-097,15-120,15-178,15-219,15-226,15-248,15-025,15-113,15-190,15-212,15-240
,,,,,,,,,,,,
,,,,,,,,,,,,
,10. LM 2016 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,16-268,16-062,16-186,16-218,16-285,16-305,16-326,16-010,16-047,16-148,16-211,16-251
B,16-008,16-066,16-188,16-257,16-293,16-306,16-338,16-023,16-083,16-161,16-216,16-260
C,16-036,16-184,16-212,16-258,16-298,16-311,16-339,16-028,16-133,16-165,16-235,16-284
D,16-038,16-185,16-213,16-270,16-301,16-317,16-372,16-031,16-140,16-191,16-250,16-286
E,16-013,16-051,16-158,16-215,16-278,16-307,16-322,16-264,16-109,16-223,16-304,16-324
F,16-022,16-078,16-159,16-234,16-294,16-313,16-323,16-014,16-134,16-248,16-347,16-325
G,16-041,16-092,16-179,16-262,16-295,16-314,16-327,16-046,16-157,16-296,16-363,16-330
H,16-045,16-151,16-189,16-275,16-297,16-321,16-328,16-077,16-187,16-299,16-366,16-373
,Red samples left E1 and E8,,,,,,,,,,,
,,,,,,,,,,,,
,11. LM 2017 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,17-016,17-062,17-072,17-095,17-112,17-160,17-204,17-057,17-090,17-170,17-187,17-218
B,17-018,17-064,17-073,17-098,17-113,17-162,17-205,17-063,17-134,17-175,17-191,17-226
C,17-053,17-065,17-083,17-103,17-142,17-173,17-206,17-071,17-141,17-181,17-195,17-227
D,17-058,17-067,17-088,17-111,17-158,17-198,17-209,17-089,17-157,17-183,17-215,17-230
E,17-020,17-070,17-086,17-152,17-202,17-221,17-228,17-001,17-104,17-351,17-237,17-324
F,17-050,17-074,17-087,17-169,17-207,17-223,17-241,17-003,17-149,17-349,17-238,17-325
G,17-061,17-075,17-097,17-196,17-210,17-224,17-323,17-034,17-194,17-348,17-242,17-329
H,17-066,17-077,17-099,17-201,17-211,17-225,17-326,17-096,17-212,17-344,17-302,17-347
,only red H3 missing,,,,,,,,,,,
,,,,,,,,,,,,
,12. LM 2018 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,18-003,18-008,18-017,18-027,18-035,18-041,18-050,18-001,18-021,18-039,18-059,18-088
B,18-004,18-011,18-023,18-028,18-036,18-044,18-051,18-009,18-025,18-040,18-068,18-091
C,18-005,18-012,18-024,18-029,18-037,18-045,18-058,18-010,18-030,18-056,18-075,18-094
D,18-007,18-016,18-026,18-032,18-038,18-049,18-060,18-019,18-031,18-057,18-083,18-095
E,18-002,18-033,18-063,18-086,18-062,18-072,18-085,18-090,18-014,NA,NA,NA
F,18-013,18-042,18-066,18-092,18-069,18-071,18-084,18-093,18-055,NA,NA,NA
G,18-018,18-046,18-067,18-096,18-070,18-073,18-087,18-098,18-061,NA,NA,NA
H,18-022,18-052,18-081,18-097,18-100,18-074,18-089,18-099,18-064,NA,NA,NA
,,,,,,,,,,,,
,Aðeins 84 sýni fyrir 2018,,,,,,,,,,,
,,,,,,,,,,,,
,Aukasýni eru 50 talsins,,,,,,,,,,,
,,,,,,,,,,,,
,13. Aukasýni (extra samples) DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,06-096,09-146,11-259,13-231,15-257,17-340,07-118,11-209,07-115,NA,NA,NA
B,06-099,09-147,11-265,13-244,15-300,17-301,NA,13-185,07-119,NA,NA,NA
C,08-133,10-268,12-401,14-242,16-374,17-018,NA,14-225,NA,NA,NA,NA
D,08-001,10-270,12-171,14-243,16-375,07-110,NA,15-021,NA,NA,NA,NA
E,06-179,09-144,11-255,13-234,14-230,16-346,07-109,08-116,NA,NA,NA,NA
F,06-181,09-154,11-256,13-242,14-236,16-351,07-111,07-050,NA,NA,NA,NA
G,08-137,10-251,12-410,14-212,15-252,17-342,NA,NA,NA,NA,NA,NA
H,08-140,10-257,12-170,14-219,15-258,17-343,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
,Búin til 6.mars,,,,,,,,,,,
,14. LM 2007 DNA,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,07-145,07-020,07-032,07-045,07-061,07-082,07-095,07-125,07-161,07-169,07-033,07-062
B,07-009,07-021,07-037,07-052,07-064,07-085,07-096,07-146,07-162,07-013,07-035,07-070
C,07-018,07-029,07-038,07-053,07-069,07-091,07-106,07-157,07-165,07-015,07-036,07-089
D,07-019,07-031,07-044,07-054,07-071,07-092,07-108,07-159,07-168,07-016,07-060,07-103
E,07-003,07-121,07-008,07-023,07-034,07-047,07-073,07-151,07-155,07-163,07-170,07-012
F,07-004,07-142,07-010,07-024,07-040,07-051,07-087,07-152,07-156,07-164,07-171,07-025
G,07-005,07-001,07-011,07-027,07-043,07-056,07-094,07-153,07-158,07-166,07-172,07-041
H,07-006,07-002,07-014,07-028,07-046,07-066,07-099,07-154,07-160,07-167,07-173,07-042
